zip_code,lon,lat,city,province
6741PW,5.60155245421045,52.084317344191064,Lunteren,Guelders
7957AT,6.29167321592335,52.67238865504664,de Wijk,Drenthe
5048AB,5.064373922113211,51.58079997091351,Tilburg,North Brabant
3067GM,4.544130267665141,51.94906497865814,Rotterdam,South Holland
5626DK,5.424098287953603,51.4832229526144,Eindhoven,North Brabant
7913TC,6.529631341040294,52.68720453722199,Hollandscheveld,Drenthe
9723CW,6.621701239129866,53.20707189507542,Groningen,Groningen
7322AJ,5.974834799488544,52.225970639862076,Apeldoorn,Guelders
7821AC,6.918723206845641,52.77277979855591,Emmen,Drenthe
2544EG,4.256122677096797,52.05247793765787,'s-Gravenhage,South Holland
9201CH,6.088527317773128,53.109134970699515,Drachten,Friesland
9263TA,5.967427036157874,53.16877138054265,Garyp,Friesland
3439JE,5.118379045097611,52.0246221337982,Nieuwegein,Utrecht
3861MA,5.47084157359937,52.23023849808186,Nijkerk,Guelders
3646AK,4.898028911838922,52.24396713512995,Waverveen,Utrecht
2405XX,4.6706974240915375,52.11693807073779,Alphen aan den Rijn,South Holland
7602PP,6.641854644356518,52.376131310912264,Almelo,Overijssel
2964LJ,4.848017175151662,51.93761491080954,Groot-Ammers,South Holland
3082XE,4.471520743559784,51.88974675999937,Rotterdam,South Holland
1424NW,4.804250903505241,52.25402849597549,De Kwakel,North Holland
3727AC,,,,
3434BJ,5.093559756594143,52.010888621099745,Nieuwegein,Utrecht
7825AR,6.944670865100569,52.744159437840246,Emmen,Drenthe
3316GN,4.639838511060382,51.778993610236576,Dordrecht,South Holland
3351XD,,,,
2871RP,4.8629155108581115,51.947902742216776,Schoonhoven,South Holland
3641SG,4.885253279644402,52.214419833724364,Mijdrecht,Utrecht
3295KH,4.615734564551379,51.78609682624802,'s-Gravendeel,South Holland
2141DA,4.701769937466536,52.37631148662882,Vijfhuizen,North Holland
5711CT,5.732719267009386,51.39000479139558,Someren,North Brabant
9753TA,6.629425528803105,53.16313869208352,Haren Gn,Groningen
6953CP,6.1099102878847855,52.04922382005087,Dieren,Guelders
7462ZA,6.497020754976913,52.30711240739683,Rijssen,Overijssel
9742TP,6.541213835391512,53.22563898984398,Groningen,Groningen
9732BC,6.624108207995556,53.23303598986582,Groningen,Groningen
2821LH,4.765590673524783,51.97385810568793,Stolwijk,South Holland
1812RK,4.750015392178413,52.61152387993024,Alkmaar,North Holland
3075DD,4.503938103206566,51.88022208686231,Rotterdam,South Holland
1506PW,4.825336295351439,52.42670579930931,Zaandam,North Holland
1446WP,5.006260947295364,52.513702683104384,Purmerend,North Holland
8606VP,5.673915547181554,53.02372691272407,Sneek,Friesland
1812RJ,4.751432394650011,52.60955934375981,Alkmaar,North Holland
3068JE,4.53103841212651,51.95482319245259,Rotterdam,South Holland
1521DA,4.806161061377028,52.487309766592965,Wormerveer,North Holland
2983CB,4.605276811008357,51.884194604300454,Ridderkerk,South Holland
9713KC,6.578929658847011,53.230359425028475,Groningen,Groningen
1216GK,5.148346425670714,52.21938245502913,Hilversum,North Holland
9861AM,6.2667620705488964,53.214400133369836,Grootegast,Groningen
2645ED,4.400400488746195,51.996620965741954,Delfgauw,South Holland
1101CL,4.949675092689693,52.30423285127626,Amsterdam,North Holland
5711CD,5.718584536277966,51.39352056117205,Someren,North Brabant
5305EE,5.1376606237643205,51.80454566046934,Zuilichem,Guelders
7327AZ,5.9852140172243935,52.192982592057774,Apeldoorn,Guelders
1817EP,4.732665643943687,52.63955474344575,Alkmaar,North Holland
2295RV,4.259999232388174,52.01481004660905,Kwintsheul,South Holland
8938AD,5.8409059444642235,53.19691782028435,Leeuwarden,Friesland
5044HR,5.036519355236611,51.57649157652912,Tilburg,North Brabant
9101PW,5.989013987437848,53.31745591309785,Dokkum,Friesland
3191AG,4.361412862823371,51.859031609149454,Hoogvliet Rotterdam,South Holland
3545NA,5.0670488135206915,52.08204343064704,Utrecht,Utrecht
